"File name";Size;Creator;Date;Name;Description;Path
parrot_big.png;3088412;"Nico Möller, M. Sc.";"2015-05-12 11:07:58";"Parrot (High Resolution)";"(CC BY-SA) Quinn Dombrowski";/parrot_big.png
parrot_med.png;871331;"Nico Möller, M. Sc.";"2015-05-12 11:07:29";"Parrot (Medium Resolution)";"(CC BY-SA) Quinn Dombrowski";/parrot_med.png
parrot.jpg;28956;"Nico Möller, M. Sc.";"2015-05-11 19:32:40";parrot.jpg;"(CC BY-SA) Quinn Dombrowski";/parrot.jpg
sheet4.pdf;231678;"Nico Möller, M. Sc.";"2015-05-11 19:33:16";sheet4.pdf;;/sheet4.pdf
